dataset,distribution,dataset_size,precision,rep,algorithm,stream_length,true_cardinality,final_estimate,relative_error,memory_bytes,throughput_ops,elapsed_seconds,avg_checkpoint_error,max_checkpoint_error
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,0,hll++,2000000,1075590,1.07651e+06,0.000853691,16384,7.69932e+07,0.0259763,0.00575263,0.0127867
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,1,ll,2000000,1075590,1.08367e+06,0.0075137,16384,1.64927e+08,0.0121266,0.00730341,0.0129114
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,1,hll,2000000,1075590,1.07651e+06,0.000853691,16384,1.37684e+08,0.014526,0.00564797,0.0127867
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,1,hll++,2000000,1075590,1.07651e+06,0.000853691,16384,9.20207e+07,0.0217342,0.00575263,0.0127867
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,2,ll,2000000,1075590,1.08367e+06,0.0075137,16384,1.62293e+08,0.0123234,0.00730341,0.0129114
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,2,hll,2000000,1075590,1.07651e+06,0.000853691,16384,1.14568e+08,0.0174568,0.00564797,0.0127867
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,2,hll++,2000000,1075590,1.07651e+06,0.000853691,16384,8.43046e+07,0.0237235,0.00575263,0.0127867
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,0,ll,500000,74370,75027.9,0.00884684,16384,1.69232e+08,0.00295453,0.00506916,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,0,hll,500000,74370,74750.3,0.00511378,16384,9.67012e+07,0.00517057,0.00457399,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,0,hll++,500000,74370,74497.3,0.00171174,16384,7.50148e+07,0.00666535,0.0023538,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,1,ll,500000,74370,75027.9,0.00884684,16384,1.45462e+08,0.00343732,0.00506916,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,1,hll,500000,74370,74750.3,0.00511378,16384,8.5115e+07,0.0058744,0.00457399,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,1,hll++,500000,74370,74497.3,0.00171174,16384,5.21492e+07,0.00958788,0.0023538,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,2,ll,500000,74370,75027.9,0.00884684,16384,1.27987e+08,0.00390666,0.00506916,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,2,hll,500000,74370,74750.3,0.00511378,16384,6.57615e+07,0.00760323,0.00457399,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,2,hll++,500000,74370,74497.3,0.00171174,16384,4.23285e+07,0.0118124,0.0023538,0.00947904
