n,k,is_probable_prime,time_ns,modexp_count,is_carmichael,bits,rounds,time_ms,ground_truth,probable_prime,correct,false_positive
4052903219,5,0,9417,1,False,32,5,0.009417,False,False,True,False
4145851801,5,0,9597,3,False,32,5,0.009597,False,False,True,False
2530426751,5,0,9636,1,False,32,5,0.009636,False,False,True,False
3572575721,5,0,9748,3,False,32,5,0.009748,False,False,True,False
3876275751,5,0,9360,1,False,32,5,0.00936,False,False,True,False
3728694777,5,0,9918,3,False,32,5,0.009918,False,False,True,False
3404690433,5,0,10542,10,False,32,5,0.010542,False,False,True,False
3531451225,5,0,9761,3,False,32,5,0.009761,False,False,True,False
3694738397,5,0,9430,2,False,32,5,0.00943,False,False,True,False
2656470979,5,0,9630,1,False,32,5,0.00963,False,False,True,False
2149244783,5,0,8810,1,False,32,5,0.00881,False,False,True,False
2384663647,5,0,8768,1,False,32,5,0.008768,False,False,True,False
13735796002281676999,5,0,16089,1,False,64,5,0.016089,False,False,True,False
14310260176365416025,5,0,16830,3,False,64,5,0.01683,False,False,True,False
14256331602474582805,5,0,15793,2,False,64,5,0.015793,False,False,True,False
17490784102544701661,5,0,14144,2,False,64,5,0.014144,False,False,True,False
14481975336352111487,5,0,14788,1,False,64,5,0.014788,False,False,True,False
16194581791458925085,5,0,14617,2,False,64,5,0.014617,False,False,True,False
13388369873121521961,5,0,16342,3,False,64,5,0.016342,False,False,True,False
10274549014183291387,5,0,14090,1,False,64,5,0.01409,False,False,True,False
14910571055952252123,5,0,13399,1,False,64,5,0.013399,False,False,True,False
11955967782054583207,5,0,15310,1,False,64,5,0.01531,False,False,True,False
11600189632129790437,5,0,15442,2,False,64,5,0.015442,False,False,True,False
10186417792844870081,5,0,16087,6,False,64,5,0.016087,False,False,True,False
11715229317521267233,5,0,16209,5,False,64,5,0.016209,False,False,True,False
17147507823226193959,5,0,14757,1,False,64,5,0.014757,False,False,True,False
14018998443484930791,5,0,25439,1,False,64,5,0.025439,False,False,True,False
16915863373473983449,5,0,15105,3,False,64,5,0.015105,False,False,True,False
15197665038469956811,5,0,13412,1,False,64,5,0.013412,False,False,True,False
13766810747009683013,5,0,14817,2,False,64,5,0.014817,False,False,True,False
11648659780512239335,5,0,15437,1,False,64,5,0.015437,False,False,True,False
14623176898799790805,5,0,14441,2,False,64,5,0.014441,False,False,True,False
56517,10,0,16253,2,False,16,10,0.016253,False,False,True,False
59799,10,0,10003,1,False,16,10,0.010003,False,False,True,False
41121,10,0,8670,5,False,16,10,0.00867,False,False,True,False
62555,10,0,6669,1,False,16,10,0.006669,False,False,True,False
56757,10,0,6699,2,False,16,10,0.006699,False,False,True,False
33643,10,0,6296,1,False,16,10,0.006296,False,False,True,False
45021,10,0,6312,2,False,16,10,0.006312,False,False,True,False
58365,10,0,6271,2,False,16,10,0.006271,False,False,True,False
51661,10,0,6206,2,False,16,10,0.006206,False,False,True,False
48567,10,0,6100,1,False,16,10,0.0061,False,False,True,False
36751,10,0,6146,1,False,16,10,0.006146,False,False,True,False
47477,10,0,6188,2,False,16,10,0.006188,False,False,True,False
56471,10,0,6114,1,False,16,10,0.006114,False,False,True,False
64911,10,0,6173,1,False,16,10,0.006173,False,False,True,False
37059,10,0,5912,1,False,16,10,0.005912,False,False,True,False
62845,10,0,6352,2,False,16,10,0.006352,False,False,True,False
63303,10,0,6154,1,False,16,10,0.006154,False,False,True,False
51117,10,0,6235,2,False,16,10,0.006235,False,False,True,False
45623,10,0,6006,1,False,16,10,0.006006,False,False,True,False
38741,10,0,6027,2,False,16,10,0.006027,False,False,True,False
2522342955,10,0,11503,1,False,32,10,0.011503,False,False,True,False
2493900019,10,0,9006,1,False,32,10,0.009006,False,False,True,False
4012293711,10,0,9728,1,False,32,10,0.009728,False,False,True,False
4102147835,10,0,9156,1,False,32,10,0.009156,False,False,True,False
2982885235,10,0,9059,1,False,32,10,0.009059,False,False,True,False
3970878825,10,0,10026,3,False,32,10,0.010026,False,False,True,False
4047525305,10,0,9413,3,False,32,10,0.009413,False,False,True,False
3612247555,10,0,8945,1,False,32,10,0.008945,False,False,True,False
4052903219,10,0,8869,1,False,32,10,0.008869,False,False,True,False
4145851801,10,0,9225,3,False,32,10,0.009225,False,False,True,False
2530426751,10,0,9074,1,False,32,10,0.009074,False,False,True,False
3572575721,10,0,9453,3,False,32,10,0.009453,False,False,True,False
3876275751,10,0,8708,1,False,32,10,0.008708,False,False,True,False
3728694777,10,0,9521,3,False,32,10,0.009521,False,False,True,False
3404690433,10,0,9949,10,False,32,10,0.009949,False,False,True,False
3531451225,10,0,9354,3,False,32,10,0.009354,False,False,True,False
3694738397,10,0,9411,2,False,32,10,0.009411,False,False,True,False
2656470979,10,0,8720,1,False,32,10,0.00872,False,False,True,False
2149244783,10,0,8469,1,False,32,10,0.008469,False,False,True,False
2384663647,10,0,8334,1,False,32,10,0.008334,False,False,True,False
13735796002281676999,10,0,15641,1,False,64,10,0.015641,False,False,True,False
14310260176365416025,10,0,15744,3,False,64,10,0.015744,False,False,True,False
14256331602474582805,10,0,15295,2,False,64,10,0.015295,False,False,True,False
17490784102544701661,10,0,13719,2,False,64,10,0.013719,False,False,True,False
14481975336352111487,10,0,14129,1,False,64,10,0.014129,False,False,True,False
16194581791458925085,10,0,14656,2,False,64,10,0.014656,False,False,True,False
13388369873121521961,10,0,14769,3,False,64,10,0.014769,False,False,True,False
10274549014183291387,10,0,18354,1,False,64,10,0.018354,False,False,True,False
14910571055952252123,10,0,12873,1,False,64,10,0.012873,False,False,True,False
11955967782054583207,10,0,14128,1,False,64,10,0.014128,False,False,True,False
11600189632129790437,10,0,14646,2,False,64,10,0.014646,False,False,True,False
10186417792844870081,10,0,15326,6,False,64,10,0.015326,False,False,True,False
11715229317521267233,10,0,15164,5,False,64,10,0.015164,False,False,True,False
17147507823226193959,10,0,14123,1,False,64,10,0.014123,False,False,True,False
14018998443484930791,10,0,14380,1,False,64,10,0.01438,False,False,True,False
16915863373473983449,10,0,13569,3,False,64,10,0.013569,False,False,True,False
15197665038469956811,10,0,13185,1,False,64,10,0.013185,False,False,True,False
13766810747009683013,10,0,14543,2,False,64,10,0.014543,False,False,True,False
11648659780512239335,10,0,14508,1,False,64,10,0.014508,False,False,True,False
14623176898799790805,10,0,15759,2,False,64,10,0.015759,False,False,True,False
56517,1,0,16693,2,False,16,1,0.016693,False,False,True,False
59799,1,0,10093,1,False,16,1,0.010093,False,False,True,False
41121,1,0,8571,5,False,16,1,0.008571,False,False,True,False
62555,1,0,6825,1,False,16,1,0.006825,False,False,True,False
56757,1,0,6867,2,False,16,1,0.006867,False,False,True,False
33643,1,0,6383,1,False,16,1,0.006383,False,False,True,False
45021,1,0,6442,2,False,16,1,0.006442,False,False,True,False
58365,1,0,6414,2,False,16,1,0.006414,False,False,True,False
51661,1,0,6211,2,False,16,1,0.006211,False,False,True,False
48567,1,0,6159,1,False,16,1,0.006159,False,False,True,False
36751,1,0,6199,1,False,16,1,0.006199,False,False,True,False
47477,1,0,6424,2,False,16,1,0.006424,False,False,True,False
56471,1,0,6101,1,False,16,1,0.006101,False,False,True,False
64911,1,0,6098,1,False,16,1,0.006098,False,False,True,False
37059,1,0,6081,1,False,16,1,0.006081,False,False,True,False
62845,1,0,6348,2,False,16,1,0.006348,False,False,True,False
63303,1,0,6177,1,False,16,1,0.006177,False,False,True,False
51117,1,0,6237,2,False,16,1,0.006237,False,False,True,False
45623,1,0,6217,1,False,16,1,0.006217,False,False,True,False
38741,1,0,6306,2,False,16,1,0.006306,False,False,True,False
2522342955,1,0,11312,1,False,32,1,0.011312,False,False,True,False
2493900019,1,0,9203,1,False,32,1,0.009203,False,False,True,False
4012293711,1,0,10078,1,False,32,1,0.010078,False,False,True,False
4102147835,1,0,9483,1,False,32,1,0.009483,False,False,True,False
2982885235,1,0,9290,1,False,32,1,0.00929,False,False,True,False
3970878825,1,0,10518,3,False,32,1,0.010518,False,False,True,False
4047525305,1,0,9615,3,False,32,1,0.009615,False,False,True,False
3612247555,1,0,8957,1,False,32,1,0.008957,False,False,True,False
4052903219,1,0,9158,1,False,32,1,0.009158,False,False,True,False
4145851801,1,0,9358,3,False,32,1,0.009358,False,False,True,False
2530426751,1,0,9124,1,False,32,1,0.009124,False,False,True,False
3572575721,1,0,9482,3,False,32,1,0.009482,False,False,True,False
3876275751,1,0,8846,1,False,32,1,0.008846,False,False,True,False
3728694777,1,0,9570,3,False,32,1,0.00957,False,False,True,False
3404690433,1,0,10614,10,False,32,1,0.010614,False,False,True,False
3531451225,1,0,9603,3,False,32,1,0.009603,False,False,True,False
