category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate
uniform,uniform-input-14000-2-float.txt,14000.0,2.0,2.0,,221595.0,115543.0,1.0
uniform,uniform-input-14000-3-float.txt,14000.0,3.0,3.0,,240173.0,126699.0,1.0
uniform,uniform-input-140000-1-float.txt,140000.0,33.0,33.0,,3002887.0,1418052.0,1.0
uniform,uniform-input-140000-2-float.txt,140000.0,37.0,37.0,,2847230.0,1461518.0,1.0
uniform,uniform-input-140000-3-float.txt,140000.0,32.0,32.0,,2921978.0,1336079.0,1.0
uniform,uniform-input-1400000-1-float.txt,956004.0,333.0,333.0,,22940088.0,11994497.0,1.0
uniform,uniform-input-1400000-2-float.txt,1075905.0,327.0,327.0,,26730522.0,12173935.0,1.0
uniform,uniform-input-1400000-3-float.txt,1159312.0,390.0,390.0,,31894492.0,12864311.0,1.0
uniform,uniform-input-1410000-1-float.txt,955987.0,272.0,272.0,,24358132.0,11564419.0,1.0
uniform,uniform-input-1410000-2-float.txt,1075871.0,324.0,324.0,,26930424.0,12791861.0,1.0
uniform,uniform-input-1410000-3-float.txt,1159315.0,363.0,363.0,,31501400.0,13670284.0,1.0
uniform,uniform-input-1420000-1-float.txt,955990.0,374.0,374.0,,23243203.0,11173682.0,1.0
uniform,uniform-input-1420000-2-float.txt,1075843.0,279.0,279.0,,26986689.0,13345862.0,1.0
uniform,uniform-input-1420000-3-float.txt,1159340.0,400.0,400.0,,32067083.0,13050643.0,1.0
uniform,uniform-input-1430000-1-float.txt,956018.0,281.0,281.0,,23738531.0,11809550.0,1.0
uniform,uniform-input-1430000-2-float.txt,1075856.0,320.0,320.0,,26866645.0,12802704.0,1.0
uniform,uniform-input-1430000-3-float.txt,1159384.0,388.0,388.0,,32251748.0,14024904.0,1.0
uniform,uniform-input-1440000-1-float.txt,956005.0,411.0,411.0,,23033222.0,11148220.0,1.0
uniform,uniform-input-1440000-2-float.txt,1075876.0,355.0,355.0,,26788380.0,14150758.0,1.0
uniform,uniform-input-1440000-3-float.txt,1159291.0,390.0,390.0,,33312216.0,14212950.0,1.0
uniform,uniform-input-145000-1-float.txt,145000.0,31.0,31.0,,2902525.0,1489693.0,1.0
uniform,uniform-input-145000-2-float.txt,145000.0,27.0,27.0,,2985227.0,1588127.0,1.0
uniform,uniform-input-145000-3-float.txt,145000.0,32.0,32.0,,3042566.0,1406347.0,1.0
